"Population","Latitude","Longitude","Median_house_value","Median_household_income","Mean_household_income"
4912,33.89229,-118.2095,293,43795,55232
4307,33.89209,-118.2365,284.7,45833,58571
3016,33.90551,-118.228,271.5,45385,47341
5720,33.90086,-118.237,309,45970,51096
3123,33.89964,-118.2466,262.4,51418,58251
3285,33.89321,-118.2471,274.6,39129,47583
4345,33.8907,-118.2568,340.7,43183,52663
6759,33.88414,-118.2503,344,52730,61171
3607,33.88461,-118.235,364.3,41989,54048
4867,33.88493,-118.2234,244.4,41667,49225
6061,33.85249,-118.2414,468,84494,92554
2666,33.86046,-118.2227,94.8,44928,65191
6611,33.85265,-118.257,448.5,83882,99372
4090,33.86245,-118.2704,361.7,71705,83265
6805,33.8305,-118.2822,375.9,60890,80757
4560,33.84171,-118.2947,373.3,70162,86719
3690,33.80493,-118.2951,469.4,59160,77240
5620,33.81415,-118.2807,477.5,81250,96431
2994,33.82157,-118.2682,378.1,71856,81612
7083,33.81369,-118.2694,356.2,72825,76341
3472,33.80383,-118.2678,384.1,80146,89059
5263,33.83774,-118.274,229.5,71163,82612
7126,33.82904,-118.2696,405,63656,72727
4510,33.81024,-118.2613,319.4,55750,62081
1146,33.9219,-118.0665,279.5,89861,85029
5496,33.92115,-118.0896,344.3,81250,86915
1534,33.93345,-118.0973,359.1,97625,100079
5639,33.96265,-118.1166,430.6,61875,71738
4211,33.95544,-118.1224,589.9,89792,100203
6921,33.96355,-118.1319,489.5,81022,87942
7170,33.95182,-118.1429,624.6,67369,87698
3762,33.94354,-118.1294,505.4,53584,58031
3926,33.92109,-118.1248,375.9,48987,67885
3588,33.92825,-118.1454,435.8,61806,70785
5422,33.93377,-118.1348,337.8,49302,55926
4290,33.94403,-118.1559,413.4,49682,58793
3721,33.91317,-118.0869,333.7,57500,64786
4900,33.91242,-118.0639,346.9,78380,95785
3648,33.90614,-118.0592,392.4,59949,66462
5720,33.89091,-118.0775,340.3,62337,69433
4191,33.89068,-118.0662,414.2,65441,74669
6985,33.89855,-118.0735,351,62254,69667
4825,33.89489,-118.1039,383.7,68661,73031
3390,33.90493,-118.1397,329.5,52672,71560
4183,33.89911,-118.1525,163.1,43864,47514
2768,33.91341,-118.1539,363.3,43830,46661
5368,33.90631,-118.1557,316.5,44545,55573
4750,33.90395,-118.1717,328.8,48056,59466
4730,33.9085,-118.1633,333.3,46875,52156
4902,33.89715,-118.181,296.5,35260,45682
4174,33.89287,-118.1732,271.9,42114,47909
6896,33.89295,-118.1508,359,48532,56692
4171,33.89867,-118.1323,409.8,57270,70765
5659,33.89243,-118.1333,403.8,48290,60643
3799,33.89084,-118.1234,382.8,52665,60101
1572,33.89972,-118.1202,387.6,63324,82824
2600,33.89286,-118.1192,410.2,42604,50610
4569,33.88612,-118.1196,333,41231,51590
4108,33.88308,-118.1382,421.9,65948,72876
3689,33.88028,-118.1249,459.2,52108,66756
4391,33.8851,-118.1299,370,31013,37778
3040,33.87316,-118.1218,456.4,48720,53930
4029,33.8792,-118.0421,622.4,91467,110428
6108,33.87422,-118.0538,655.7,99176,116932
4322,33.87396,-118.069,576.3,66383,82027
3703,33.85179,-118.0772,586.6,88295,111421
5435,33.86785,-118.0406,619.5,89639,96727
5752,33.87135,-118.0999,587.3,71417,87099
4374,33.88317,-118.0892,359.7,52214,67029
4874,33.88401,-118.0767,355.3,68169,76341
5411,33.84287,-118.0872,418.6,67820,85229
3475,33.83583,-118.0881,429.5,66567,73076
6526,33.83939,-118.0769,339.2,56852,64765
4727,33.84242,-118.0663,454.3,73750,85020
4239,33.83539,-118.0664,363.2,69250,77391
4561,33.82764,-118.0679,289.9,44309,50221
4447,33.86441,-118.1403,445.8,71929,88300
6415,33.87969,-118.1789,315.5,54978,59951
4130,33.87185,-118.1564,359.4,40556,46634
7330,33.86815,-118.1888,275.6,41758,50630
5421,33.85721,-118.1809,334.5,48147,58104
6569,33.85303,-118.1487,471.9,61508,72338
2433,33.85052,-118.1594,442.8,90160,94068
4574,33.84339,-118.1165,476.7,90024,96522
4770,33.83961,-118.1604,459.5,94329,90739
3700,33.84788,-118.1708,451.7,66217,79291
4699,33.83837,-118.1712,432.6,54500,68720
2039,33.85026,-118.1814,437.5,15392,20390
4107,33.84965,-118.1872,285.8,40686,51786
5509,33.83252,-118.1789,671.1,72768,103335
5278,33.8227,-118.176,590.5,78950,91415
4409,33.82243,-118.1911,383.3,58112,74595
1045,33.82098,-118.2006,378.8,95982,104960
3609,33.80807,-118.197,462.6,76808,85284
3365,33.816,-118.2183,134.6,21250,33312
3990,33.79328,-118.1917,268.8,25511,32860
5153,33.79328,-118.1963,329.3,33644,46781
7165,33.80019,-118.1954,432.3,51634,61045
6230,33.79354,-118.185,348.5,36134,45861
6430,33.7956,-118.1682,383.3,63645,75240
3208,33.79854,-118.1614,506.5,94335,113022
6114,33.82506,-118.1252,490.3,87770,102394
4284,33.82349,-118.099,502.7,100607,106960
2091,33.81339,-118.0776,634.9,103028,123690
5277,33.81462,-118.1018,603.9,102000,114119
5795,33.79867,-118.1164,588.7,96700,116891
1277,33.77795,-118.1081,639.2,108750,131738
4783,33.79039,-118.1366,456.8,55039,65659
3608,33.79439,-118.1465,463.7,69861,78112
4627,33.78543,-118.1442,512.6,60435,75725
4510,33.78462,-118.1629,375.9,34315,42791
4916,33.78601,-118.1707,431.6,44013,50976
5155,33.78639,-118.196,275,35270,40079
2446,33.77864,-118.2006,351.4,32344,44189
4969,33.76687,-118.1895,341.7,67018,90658
6158,33.77239,-118.1855,271.1,37001,51451
4176,33.7788,-118.189,296.2,33261,51040
4779,33.77839,-118.1787,361.1,30615,41900
5181,33.7793,-118.1741,353.6,26827,35999
5033,33.77882,-118.1698,320,33661,45498
3369,33.77199,-118.1786,291.9,42192,45986
4399,33.7668,-118.1791,517.8,46159,64428
4047,33.76577,-118.1605,508.2,70192,83323
6092,33.77964,-118.1647,391.5,35915,44464
3253,33.76271,-118.1345,895.8,72755,97964
3441,33.77112,-118.1127,593.5,74306,120258
1388,33.75836,-118.1081,508,90000,117253
4600,33.94846,-118.2976,342.7,32533,50660
6205,33.94251,-118.2993,335.6,26234,35864
3664,33.93574,-118.2983,415.5,20381,30658
3424,33.93526,-118.2942,413.4,32692,37652
2355,33.92837,-118.3318,342.1,62045,65849
2597,33.96412,-118.3312,424.4,55278,73889
6613,33.97237,-118.3522,355.8,40185,54601
3349,33.97825,-118.352,412.5,38529,54133
5517,33.97814,-118.3413,335.2,46681,58072
2154,33.96435,-118.3475,483.3,30571,41860
5311,33.95612,-118.3478,320.2,40500,49128
4115,33.94942,-118.3574,301.3,44487,55225
6511,33.95586,-118.3572,373.1,40859,50867
6856,33.97147,-118.3668,311.1,39823,49788
4879,33.9742,-118.3621,315.8,40051,49300
4683,33.96093,-118.3655,290.8,38892,54892
3890,33.94332,-118.3631,339.5,32220,41774
3963,33.94002,-118.3617,371.7,38271,48516
4375,33.9352,-118.3617,295.2,33371,41676
3789,33.94335,-118.3504,360.3,35417,50434
4658,33.93996,-118.3508,365,43622,48246
5685,33.94089,-118.3392,308.7,39792,46499
4126,33.93449,-118.3309,349.4,48194,58326
4273,33.91988,-118.3472,322.1,45833,51536
5702,33.9205,-118.3585,429.2,44763,53604
6265,33.90938,-118.3653,476.2,83849,90659
6769,33.90943,-118.357,509.2,50813,60099
4407,33.90603,-118.3372,442.7,40976,48319
4072,33.90597,-118.341,409.1,44071,47139
4329,33.90736,-118.3306,272,45676,47754
7022,33.91277,-118.3397,429.6,38272,44720
4118,33.91373,-118.3333,392.8,38273,47804
7910,33.9102,-118.3192,436.2,57639,65249
3045,33.92669,-118.3173,402.9,77964,93677
4427,33.91136,-118.2972,295,31844,44498
1512,33.89337,-118.2971,242.8,51210,51846
5591,33.89826,-118.3043,243.1,31774,47804
4244,33.8865,-118.2955,393.7,55469,65486
3804,33.87739,-118.3059,340.2,41368,53525
3074,33.89839,-118.3209,409.1,64097,73594
5087,33.89117,-118.3349,453.3,77288,89193
2703,33.89838,-118.3392,442.8,84524,90744
6348,33.89819,-118.3305,367.6,39063,48670
4483,33.89873,-118.348,340.8,48962,59473
7058,33.88257,-118.3479,424.6,50610,58503
3609,33.92104,-118.4055,751.4,71116,93949
3617,33.92011,-118.4186,848.2,86685,102423
5390,33.88388,-118.3718,731.5,117333,137271
5376,33.86232,-118.3657,665.9,110033,126350
6704,33.86992,-118.3811,772.4,110474,141926
7059,33.86262,-118.3797,763.3,106365,131197
4119,33.86946,-118.3937,935.3,108561,140737
3230,33.84432,-118.3911,556.4,61967,83342
6769,33.83584,-118.3794,788.3,81667,108628
3842,33.83442,-118.388,743.9,84618,112517
4414,33.82273,-118.3799,950.1,103422,117496
5853,33.87886,-118.3193,567.3,71780,84336
4005,33.87663,-118.3315,528.6,65585,72055
5831,33.86723,-118.3173,559.9,82768,87062
2248,33.86983,-118.3325,515.8,81850,92882
5783,33.86312,-118.3356,554.2,80804,88283
4472,33.83528,-118.3361,646,93214,109403
3063,33.85348,-118.3584,671.9,97656,109875
7161,33.84184,-118.361,607.8,61406,77679
3958,33.84385,-118.3692,793.5,71691,94018
5412,33.84078,-118.349,587.3,57857,64459
2763,33.84544,-118.3498,757.7,83750,94555
2521,33.83274,-118.3568,672.9,102321,106219
7074,33.82723,-118.3355,553.7,71879,87552
7103,33.82455,-118.3169,523,81089,94230
5522,33.81186,-118.314,616.9,76964,96761
3639,33.82037,-118.3463,569,54654,67882
6211,33.81198,-118.3581,678.3,75714,86845
6311,33.80661,-118.371,951,107667,140446
2614,33.78652,-118.3345,590.3,49426,68765
3311,33.8039,-118.3168,481.2,73036,83705
4001,33.7951,-118.3133,550.4,66823,71132
5788,33.79672,-118.3229,430.8,54608,68888
2646,33.7674,-118.376,946.2,110682,163343
4427,33.78522,-118.379,899,117289,156999
4782,33.77301,-118.3976,992.9,119875,160858
6882,33.75988,-118.313,718.8,99519,114398
4061,34.08882,-118.3565,509.6,26337,47938
5237,34.08207,-118.3783,771.4,60433,102571
3268,34.03387,-118.4898,887.4,85147,117146
4684,34.02716,-118.4979,723.7,62723,89704
6696,34.02157,-118.5016,991.5,65086,102569
3841,34.02518,-118.4875,628.2,64716,93963
3196,34.03382,-118.4704,610.2,61761,71806
3106,34.02257,-118.4843,611.8,56531,62751
5867,34.02587,-118.4663,601.3,47843,66527
4483,34.01299,-118.4736,956.4,77829,98111
4048,34.00813,-118.3886,436.9,78966,97185
6069,33.9961,-118.3955,705.4,89375,108530
3440,34.00534,-118.4024,761.8,118264,134356
5205,34.01225,-118.4103,748.1,62064,81738
2282,34.00577,-118.4172,656.3,75313,94586
2963,33.99642,-118.4305,724.7,49095,67689
8866,33.97688,-118.4548,445.7,91218,108706
5446,33.99201,-118.3534,634.8,78083,97448
5629,33.99846,-118.3397,624.4,85494,112971
6664,34.15115,-118.7781,650,121479,147716
3407,34.1432,-118.8178,824.7,89007,146325
4972,34.13011,-118.8205,929.5,113333,170848
5305,34.15229,-118.7485,658.6,86536,125399
6421,34.13194,-118.7224,686.6,94048,132739
766,34.1588,-118.7959,646.4,132266,171934
6665,34.16171,-118.77,842.8,136801,186223
1029,34.66403,-117.7868,185.8,58875,57854
6170,34.62558,-117.8351,170.6,46711,56228
6242,34.60108,-117.8324,148,43911,59166
4514,34.70879,-118.071,134.1,41250,58486
7669,34.68087,-118.0863,134.2,43074,52399
5214,34.70914,-118.1139,35.7,31250,37683
3904,34.69338,-118.1229,180,34129,41488
5243,34.70041,-118.1,145.6,48913,48655
3050,34.66936,-118.1425,215,34593,40012
3620,34.69759,-118.142,209.3,16216,24463
3813,34.75222,-118.2402,258.9,76094,75557
12544,34.68509,-118.204,281.8,82148,97882
2258,34.65556,-118.1824,274.3,104858,123427
5496,34.65452,-118.2274,229.9,43550,57459
1633,34.76759,-118.5641,267.7,67292,64341
1684,34.58812,-118.0759,166.5,16707,32817
3549,34.60343,-118.1308,228.4,51071,68062
5223,34.62914,-118.1811,427.5,94969,119472
3246,34.5695,-118.1768,348.1,81162,95052
6023,34.59547,-118.1746,281.7,82870,85589
6340,34.59451,-118.157,254.8,63217,77884
4219,34.63761,-118.2242,334.4,84138,109276
6387,34.62285,-118.2217,318.3,81250,97632
6608,34.57764,-118.1488,229.6,71917,75799
3751,34.58372,-118.1241,134.5,32827,39746
5339,34.58061,-118.1106,250,20775,25011
4797,34.56898,-118.1025,151.9,40571,49630
6460,34.58417,-118.0746,160.6,37569,48662
4329,34.55363,-118.0989,168.5,50966,57243
2772,34.54984,-118.0521,225.1,83250,91418
6702,34.55419,-118.0711,180.4,42963,50527
3295,34.509,-118.184,514.2,92826,99344
4839,34.47107,-118.1971,484.8,79904,100070
2765,34.44348,-118.3821,519.8,100694,110465
4201,34.48532,-117.8836,246.2,52813,74427
4306,34.43359,-118.5123,394.7,89269,107576
4904,34.46341,-118.5218,556.2,120000,126945
2277,34.45554,-118.5299,403,82207,89018
2598,34.42316,-118.4895,119.4,74559,76160
419,34.47548,-118.4362,758.1,145524,137554
5684,34.44158,-118.483,398,101250,116332
3574,34.43108,-118.482,274.1,79957,82089
5818,34.41574,-118.4886,382.6,84375,94819
3628,34.43373,-118.4594,393.6,80545,92613
3419,34.42255,-118.4759,368.6,79758,87099
1896,34.42229,-118.4398,468.8,101048,128548
2871,34.41697,-118.4367,335,86979,92634
6769,34.40164,-118.4642,348.6,76490,86764
5711,34.40233,-118.4419,520.5,133724,147022
2686,34.44485,-118.5156,429.5,106923,129971
3439,34.44814,-118.5647,502.4,103636,129821
4493,34.45849,-118.5476,554.1,93724,113334
5010,34.44527,-118.5428,602.8,106657,127464
4287,34.43573,-118.5382,475.8,89432,93831
6490,34.43256,-118.5602,466.5,89541,99741
5181,34.48238,-118.6301,452.7,103944,120422
6117,34.45946,-118.6222,459.2,110513,124872
1896,34.46615,-118.6387,576.7,128207,134272
5268,34.36894,-118.532,615.8,68958,95865
1990,34.4166,-118.5683,748.3,102000,128534
7027,34.38607,-118.5363,360.4,42566,53369
7257,34.37374,-118.5145,276.7,57111,64745
5721,34.38732,-118.5934,653.8,136897,165472
546,34.32357,-118.3783,226.8,65972,79521
2471,34.16803,-118.6294,654.5,89875,123803
5033,37.36808,-119.6718,270.8,42391,62387
4773,37.32256,-119.627,326,48668,70640
7068,37.24126,-119.6925,236.4,44459,69542
9049,37.0958,-120.1606,171.5,51230,59761
1288,36.95599,-120.3949,281.6,32619,67758
10473,36.94154,-120.0549,157.4,38560,45444
6438,37.00715,-120.0847,210.7,52760,64563
5161,36.97228,-120.0609,82.7,27598,35197
5467,36.97823,-120.0641,160.2,28182,40336
10776,36.96054,-120.0877,239.8,54954,68138
9612,36.96056,-120.0461,149.8,32466,37373
2682,38.10842,-122.5525,635.8,64479,104681
2295,38.12588,-122.5949,742,99688,146911
7168,38.10548,-122.6105,716.7,94629,124045
5135,38.08552,-122.5572,392,73220,80385
5722,38.05957,-122.5502,682.7,76379,108458
1530,38.07697,-122.5121,834,114583,148350
6590,38.05394,-122.5214,349.6,69139,87589
4048,38.01639,-122.5333,362,68545,78839
5625,38.00605,-122.5207,566.4,64830,89617
6142,38.03371,-122.5588,803.7,123239,151554
3853,37.98069,-122.5271,931.6,59234,80507
3956,37.98108,-122.5459,867.8,89652,120172
4315,37.96148,-122.5222,741,79403,105239
4217,37.96435,-122.4999,546,46479,80220
3656,38.01164,-122.6696,760.5,90028,104018
5133,37.9841,-122.5945,711.4,107396,126526
7249,37.99643,-122.5774,909,130280,164647
3070,37.98053,-122.5745,738.2,78542,107277
4527,37.9746,-122.5637,937.1,81875,120228
5175,37.92471,-122.5237,919,105464,148845
1774,38.08174,-122.8505,921.6,54583,93121
2706,37.50714,-119.8079,229.9,49202,61855
1802,37.69691,-119.6481,228.1,63229,74747
2587,39.80338,-123.2436,278.6,27402,38054
4272,39.45136,-123.7679,439.5,45250,63241
4439,39.43606,-123.798,358.2,30722,43030
6917,39.43024,-123.3625,361.4,46262,60725
5915,39.27637,-123.2067,433.9,58070,72982
1785,39.31774,-123.1047,449.3,57019,72685
3915,38.86263,-123.6041,492.6,44040,60950
6739,39.15735,-123.2068,304.7,45308,53920
1841,37.4115,-120.778,121.3,49375,59583
9272,37.42735,-120.7849,174.7,51078,58303
4790,37.39146,-120.7075,206.1,45354,53997
6129,37.3914,-120.6113,176.6,29002,40120
5438,37.35809,-120.619,126.3,39488,52645
3550,37.35656,-120.6043,171.3,36536,56783
6143,37.36494,-120.5918,214.5,35596,62217
4296,37.34417,-120.5868,148.4,53116,60820
13467,37.33575,-120.4863,194.4,66734,69697
4061,37.3212,-120.4942,134.6,20511,31817
3968,37.31865,-120.4779,187.5,24529,42002
2406,37.3127,-120.5022,101.6,27223,44076
5880,37.3246,-120.4609,201.4,53438,62983
3264,37.30448,-120.4771,187.5,26292,35398
3953,37.29864,-120.4628,124,37214,46285
4277,37.3043,-120.4537,198.2,38828,66771
2693,37.30083,-120.5108,154.9,41840,62230
2822,37.29866,-120.4969,91.4,28536,34370
4438,37.29208,-120.4994,112.7,25065,31843
4498,37.29224,-120.4816,81.9,24414,32281
6335,37.28637,-120.4474,89.3,30625,44056
4288,37.34081,-120.4468,312.9,90865,119751
7835,37.23719,-120.9989,181.3,45179,57230
3862,37.06392,-120.9225,116.4,39268,55465
6097,37.06304,-120.8536,115.8,27871,34462
9923,37.07585,-120.8451,174.1,54436,59713
13709,37.06599,-120.8244,174.5,59798,62561
1756,37.03558,-120.6389,196,41250,56961
5319,37.30661,-120.4326,262.1,81674,108872
1910,41.59915,-121.2515,145,37500,55050
3463,37.61334,-118.68,356.1,77908,75097
8237,37.64101,-118.9765,663.7,56616,72427
9054,36.71021,-121.6337,431.9,79286,86595
3894,36.71319,-121.6493,296.1,55972,66038
7161,36.69352,-121.6515,346.1,33712,48604
4842,36.67619,-121.6333,155,23750,32579
6439,36.68809,-121.6095,272.2,27350,35974
6371,36.68517,-121.6113,180.8,34297,39898
5746,36.6698,-121.628,228.3,37940,50943
2548,36.67415,-121.6528,404.7,22582,36693
2680,36.67035,-121.6628,393,51599,66382
5741,36.66114,-121.6674,420.8,59327,67739
3780,36.67792,-121.6683,339.8,44851,55024
5078,36.68634,-121.6563,233.7,47321,58529
4386,36.84304,-121.6841,491.7,76000,96176
1250,36.76554,-121.6904,280.6,45833,65302
4892,36.72836,-121.6501,190.3,63846,68976
4752,36.72542,-121.6544,220.7,40186,46860
5512,36.69616,-121.6047,294.8,61055,77377
3646,36.69143,-121.6242,254.8,53920,65025
6769,36.60108,-121.6712,654.1,120114,137292
5933,36.47307,-121.7234,846.9,82617,138867
5188,36.41276,-121.3317,248.3,38333,50227
11454,36.43541,-121.3243,280.6,60653,72878
6868,36.32716,-121.2392,229,54077,65630
7173,36.31918,-121.2461,266.3,56165,67093
5813,36.21225,-121.1274,206.4,41563,49919
3775,36.18847,-121.1659,273.3,65781,86970
6688,36.2099,-121.1301,169.6,55168,67546
2683,36.61718,-121.9203,694.4,59583,80094
5082,36.61095,-121.9086,663.2,61968,67587
2254,36.60109,-121.9177,784.1,64432,88318
3299,36.60104,-121.8999,766.3,53453,64889
5154,36.58906,-121.9091,786.6,80511,99121
4225,36.57483,-121.8354,996.6,122171,155982
5693,36.5985,-121.8585,516.3,50633,57226
1624,36.59419,-121.8402,598.3,76923,94293
4920,36.60414,-121.8326,549.7,73894,80210
5131,36.61111,-121.841,452.8,41755,52087
2673,36.61897,-121.8319,522.9,51557,69422
2637,36.60666,-121.851,431,51667,58297
7088,36.63238,-121.8184,757.6,66845,77176
6620,36.79016,-121.7177,369.9,64567,76134
3466,38.29187,-122.2976,434.7,42671,61242
2856,38.29429,-122.2874,483.8,44243,57502
2497,38.2868,-122.2891,425,61910,71429
5013,38.3102,-122.301,329.1,49677,62926
6431,38.31655,-122.2913,384.6,51908,63842
4468,38.33148,-122.3004,602.3,66530,85303
4514,38.31563,-122.3153,426.8,70815,75830
2776,38.30472,-122.3097,592.3,58528,80138
5481,38.28003,-122.2988,420.1,67279,91784
2165,38.29747,-122.3279,553.4,46917,82278
5566,38.29374,-122.3072,359.1,52470,57612
4389,38.18591,-122.2459,579.3,111382,135064
2418,38.17883,-122.2661,397.6,79032,111002
3283,38.1712,-122.2618,355.4,77438,92687
4089,38.16077,-122.2599,344.1,71483,82269
1996,38.3076,-122.3452,606,104038,143150
4739,38.34884,-122.3282,354.9,50929,76798
2933,38.39964,-122.3621,546.5,68368,93418
800,38.41775,-122.2114,872.1,94417,151164
2287,38.50038,-122.4609,799.3,60060,82460
1806,38.56704,-122.2643,402.3,72500,83852
6677,39.13074,-121.0539,378.1,70118,86582
3190,39.15489,-121.0617,210.6,52566,61945
2792,39.08059,-121.0962,406.1,57018,70750
2353,39.17686,-121.0996,418,75885,93955
5744,39.23722,-121.1967,432.4,75056,83812
6926,39.21171,-121.1933,338.8,51856,64897
6034,39.22973,-121.0589,338.9,45866,55890
4664,39.21587,-121.077,323.6,43385,52428
7436,39.21838,-120.9695,448.4,67196,77838
3968,39.16889,-121.0082,443.9,58028,69343
6528,39.25463,-121.0325,454.5,62689,87179
4348,39.33743,-120.9689,333.8,40942,55268
2832,39.33769,-120.2484,530.5,79516,89219
4537,39.3537,-120.1062,457,86534,99872
4489,33.93403,-117.9617,408.2,43056,58875
5752,33.92126,-117.9522,333.5,59850,66599
3803,33.92607,-117.949,177.3,47727,54904
5185,33.93701,-117.9289,486.4,66103,76092
3239,33.93864,-117.92,553.2,95000,101887
6373,33.93499,-117.9125,464.5,78500,99856
6876,33.90445,-117.8976,562.4,92500,99492
4109,33.93378,-117.8925,598.8,78750,102503
7989,33.9049,-117.9216,701.8,94268,121619
3869,33.893,-117.937,913.2,108864,157562
7482,33.90383,-117.9686,642.1,114695,138689
5544,33.86543,-117.9801,386,48719,59922
7154,33.86225,-117.9717,323.7,39716,53640
3418,33.85662,-117.9592,415.1,62348,72314
3916,33.87396,-117.9352,499,67692,80323
4379,33.87468,-117.9247,653.7,73141,99624
1982,33.8798,-117.9178,615.2,68973,84251
2325,33.87985,-117.9073,574.8,95833,111636
5565,33.87178,-117.9062,449,53542,65863
7955,33.86084,-117.9288,414.9,51475,58899
6045,33.90321,-117.8769,630,94925,110954
4355,33.90125,-117.8622,606,104676,120587
7305,33.8857,-117.8705,393.6,44452,54193
4865,33.87697,-117.8712,502.2,69799,76417
5410,33.87108,-117.8538,621.2,110156,133454
3263,33.89416,-117.8482,526.6,91836,100401
7329,33.8565,-117.8789,292.7,36677,50303
5023,33.87044,-117.8727,354.9,45795,53443
7091,33.89058,-117.8159,669.9,76458,117614
2902,33.89437,-117.8352,694.8,84393,98627
7751,33.91696,-117.835,703.7,107614,142101
4833,33.87649,-117.7938,655.9,91071,112510
3479,33.8692,-117.7839,467.5,90265,109631
4258,33.87636,-117.8293,665.5,118292,132573
6582,33.86985,-117.8307,446.7,76151,85346
3299,33.89479,-117.7825,627.1,109176,118036
2682,33.8752,-117.711,391.9,85074,94997
3028,33.88359,-117.7302,881.6,133111,176707
4362,33.88177,-117.7094,795.1,161190,201029
4034,33.85085,-117.8162,560.5,82148,83623
5485,33.8554,-117.7778,614.7,103463,111359
2662,33.84914,-117.7701,690,82604,110056
6210,33.61451,-117.6667,591.9,96000,105172
1606,33.73613,-117.6122,570,95893,113767
3626,33.59049,-117.6655,612.6,100260,120021
6323,33.61742,-117.6965,197.2,53882,83403
6548,33.60949,-117.6854,621.9,94188,110388
13544,33.47586,-117.5963,843.5,129009,169495
3102,33.62437,-117.67,364.2,65095,73099
4328,33.64388,-117.6667,488.3,100094,99869
3819,33.64099,-117.662,543.8,98750,110226
3654,33.64439,-117.6489,586.7,113889,126009
3624,33.64689,-117.6407,447.6,87315,96313
5898,33.63978,-117.6299,813.1,152065,175708
3539,33.61906,-117.6544,585.9,110769,124180
4929,33.62019,-117.6369,470.1,53438,88244
6602,33.59375,-117.6465,705.8,140966,149996
6696,33.57588,-117.65,562.2,115000,127391
2612,33.58111,-117.6534,692.8,140160,182519
1022,33.67785,-117.5924,872,165250,181774
3987,33.63404,-117.5681,882.8,186875,226193
9368,33.6566,-117.6182,636,121357,126927
4906,33.65198,-117.5877,484.1,94455,106543
7976,33.6129,-117.6203,484.4,103916,124287
3884,33.64493,-117.5832,446.9,79229,93519
7218,33.5661,-117.6387,781.9,144438,148833
7312,33.54333,-117.6459,627.6,130625,156113
7975,33.55139,-117.6369,643.3,142754,161310
7418,33.41328,-117.6077,971.9,93077,139680
1377,33.44475,-117.6402,659.6,84475,92219
5697,33.42588,-117.621,769.8,73953,107623
5994,33.46552,-117.6297,821.8,118527,146823
6858,33.45589,-117.6199,834,135682,152911
3718,33.41152,-117.5939,851.2,73548,96427
5639,33.46158,-117.6676,693.5,64048,112743
7015,33.48661,-117.6503,704.2,90114,126859
6780,33.46606,-117.647,707.2,85885,101682
5996,33.48801,-117.6835,733.8,109934,144674
9085,33.50937,-117.6644,428.1,54067,72043
6471,33.46921,-117.698,770.9,69330,86980
5900,33.53885,-117.6826,667.6,106368,126260
3334,33.53895,-117.7085,833.2,120139,148888
3375,33.5246,-117.7235,917.8,119038,158530
4608,33.53459,-117.7189,622.5,81094,104897
5215,33.51722,-117.6939,730.8,82168,114305
5399,33.49781,-117.7031,887.4,122917,164141
4580,33.48452,-117.7038,766.3,99712,114521
3208,33.48037,-117.6968,769.9,91516,122331
5182,33.62429,-117.7032,536.8,78191,109727
4006,33.63357,-117.6894,504.6,101782,108117
6771,33.70538,-117.7624,681.4,119536,127151
12096,33.69764,-117.7543,638.4,89427,108108
3456,33.75918,-117.7657,745.6,121905,140218
21098,33.73219,-117.7668,796.4,130344,162734
5111,33.71824,-117.7596,694.3,100493,125693
7957,33.69507,-117.6912,650.3,121005,136992
5119,33.68481,-117.6524,602.4,115771,122515
6217,33.68125,-117.6306,509.3,116440,138487
5913,33.72199,-117.8145,539,84575,113421
5675,33.67898,-117.7876,624.2,76324,113997
4212,33.67166,-117.8139,478.7,85694,101123
4123,33.68051,-117.8216,699.4,104779,119839
7952,33.73161,-117.7962,610.6,89446,109085
4355,33.69944,-117.7848,570.3,92891,120971
6393,33.66863,-117.85,430.1,74429,100799
14044,33.64435,-117.8349,406.4,31750,68507
4800,33.6223,-117.7398,398,77313,91559
4072,33.61753,-117.7196,194.8,34475,46371
4381,33.59214,-117.7063,221.3,44107,63634
2773,33.65249,-117.8391,481.6,24514,41010
3581,33.65095,-117.8119,928.9,100417,141973
2660,33.63816,-117.8177,868.8,131217,163393
1722,33.64043,-117.7985,805.7,105568,143749
4039,33.6014,-117.739,529.1,92935,109869
4525,33.57506,-117.7234,430.8,82407,94354
3257,33.60661,-117.7158,167.6,31823,42632
2774,33.61142,-117.7391,275,40534,59323
3257,33.60489,-117.7512,359.9,49570,65833
5917,33.63134,-117.8822,860.9,80817,110525
857,33.61628,-117.8821,850.4,81786,124143
6257,33.658,-117.8938,622.8,84393,141921
2643,33.64401,-117.9001,910.3,77024,118487
3801,33.65085,-117.9038,699.2,61933,81758
6223,33.62798,-117.9381,619.6,73295,87927
3835,33.6409,-117.9371,282.1,42708,60060
5672,33.63953,-117.9282,433.6,39102,52693
4437,33.65793,-117.9406,591.9,78214,93769
3790,33.68206,-117.9297,722.7,76765,102119
4957,33.66854,-117.9255,807.4,71964,82104
6393,33.65557,-117.9256,463.5,55705,65265
6670,33.67836,-117.9134,570.8,59375,67712
4375,33.66199,-117.9139,640.3,71763,90569
6994,33.69265,-117.8916,693.5,96060,119274
5430,33.68245,-117.8853,547,70216,80851
5555,33.69749,-117.8811,199.1,55841,63598
5026,33.72137,-117.8808,351.2,80375,82046
6015,33.70627,-117.906,248.1,49726,57838
5226,33.7216,-117.9048,388.2,62538,72775
3801,33.71971,-117.8995,366.7,73750,72974
