"Population","Latitude","Longitude","Median_house_value","Median_household_income","Mean_household_income"
4077,37.5646,-122.047,536.6,115246,109974
6802,37.55747,-122.0216,456.2,81538,91481
7436,37.55377,-122.0113,429.2,72909,94466
3663,37.54246,-121.9689,462.7,95775,102750
5605,37.55218,-121.988,373.3,64583,75410
4080,37.54077,-121.9783,426.9,65341,75200
4103,37.54478,-121.9761,499.1,71273,87017
5166,37.54722,-121.9502,875.2,155500,152477
6875,37.53753,-121.9421,899,124320,138767
4388,37.52809,-121.96,567.1,75495,82394
4788,37.53612,-121.9614,478.9,55116,78273
3844,37.54373,-121.9974,632.9,80521,98490
5074,37.54981,-122.0048,748.3,66062,101894
2873,37.53737,-122.0078,633,103558,108751
2816,37.52854,-121.9919,484.7,69375,83498
5918,37.51644,-121.9605,509.4,91250,95396
3142,37.48927,-121.9246,350.5,83143,94454
7280,37.55039,-122.0347,607.3,82500,85620
4354,37.52673,-122.0453,519.9,69875,90937
5114,37.5363,-122.0352,439.8,73423,82316
4014,37.51882,-121.9987,421.8,106604,107660
9434,37.71663,-121.8859,760.9,131795,146724
4067,37.72114,-121.9147,512.3,85592,88709
4551,37.71411,-121.9203,553.5,104063,106048
5968,37.717,-121.9334,499,100446,104271
4185,37.71014,-121.9515,769.3,149180,165969
8722,37.67328,-121.9146,763.8,131282,150931
3685,37.67243,-121.8834,727.9,109960,120068
4576,37.66166,-121.85,634.4,101500,118504
4734,37.69205,-121.8845,503.5,93347,104950
3618,37.70701,-121.8631,401.7,89875,97734
2115,37.71449,-121.864,820.8,172292,189096
7081,37.69825,-121.7075,636.4,121848,154727
3634,37.72214,-121.7402,464.1,94864,107408
6560,37.6887,-121.7957,495.8,104961,125139
5850,37.69319,-121.7649,559.1,86930,103014
2220,37.69124,-121.7842,446.3,91875,102028
3102,37.67164,-121.7882,463.1,84900,95364
3859,37.66785,-121.8005,594.5,119803,132401
4449,37.66251,-121.7884,586.8,112522,118319
1175,38.7283,-119.8476,395.6,59018,81595
5871,38.39612,-120.9385,331.7,65167,71661
5073,38.36191,-120.9123,295.1,63891,75869
5020,38.386,-120.7572,329.9,46142,58868
4740,38.39607,-120.6569,324.4,58068,79250
5636,39.76737,-121.8363,286.5,45417,55309
3723,39.76533,-121.8493,181.3,36694,47112
1771,39.77331,-121.887,213.8,57576,70618
3304,39.74441,-121.8648,327.8,59321,70779
2142,39.72707,-121.7758,343.8,90582,92735
6117,39.72946,-121.8003,289.1,41132,53230
